Time_s,Time_min,f1_Hz,f3_Hz,f5_Hz,f7_Hz,f9_Hz,f11_Hz,f13_Hz,D3_ppm,D5_ppm,D7_ppm,D9_ppm,D11_ppm,D13_ppm
33.3894,0.55649,0.0041,-0.0414,-0.0354,-0.1764,-0.0568,-0.1037,-0.2578,0.0377,0.0248,0.0355,0.0311,0.0683,0.1141
34.2036,0.57006,0.061,-0.0635,0.0571,-0.1031,-0.135,-0.0651,-0.991,0.0056,0.0407,0.0059,0.0382,0.0428,-0.0077
35.082,0.5847,-0.0173,-0.0429,-0.0486,-0.0344,-0.092,-0.1213,-0.2462,0.0541,0.0467,0.0343,-0.0206,0.0332,0.0821
35.9115,0.598525,-0.0266,0.0083,0.0035,-0.0332,-0.1079,-0.1019,0.038,0.1064,0.0143,-0.0029,0.0189,-0.0126,-0.0088
36.8173,0.613621667,0.0771,-0.0713,-0.0649,-0.0261,-0.0255,0.0121,-0.195,0.1075,0.022,-0.0245,0.0399,-0.0044,0.046
37.6948,0.628246667,-0.0381,-0.1091,-0.0843,-0.0514,0.0027,-0.0092,-0.2891,0.0502,-0.0171,0.0469,0.0266,-0.0238,0.0427
38.5799,0.642998333,-0.0652,-0.1912,-0.0455,-0.089,-0.0966,0.0905,-0.4275,0.0146,0.0205,0.0142,0.0472,-0.0214,0.3053
39.4555,0.657591667,0.0203,-0.122,-0.1675,-0.0954,-0.095,-0.1516,-0.1566,0.0988,0.039,0.0221,0.0257,0.0286,-0.047
40.3616,0.672693333,0.1181,-0.0383,-0.1352,-0.1211,-0.0672,-0.1276,-0.3481,0.0524,0.013,-0.0081,0.0157,-0.0305,-0.1044
41.2402,0.687336667,0.0904,-0.0916,-0.0202,-0.0611,-0.0361,-0.1411,-0.4915,0.0752,0.0497,0.012,0.0186,0.0175,-0.0285
42.0767,0.701278333,-0.1396,-0.1623,-0.1674,-0.1193,-0.0947,-0.0276,-0.1844,0.0568,0.0074,-0.009,0.0227,-0.0219,-0.0468
42.9072,0.71512,-0.019,-0.0998,0.0418,-0.1027,-0.1099,-0.0546,-0.253,0.057,0.0453,0.0276,0.0266,0.0565,-0.0197
43.7885,0.729808333,0.0394,-0.0693,-0.0999,-0.1269,-0.0646,-0.2073,0.1469,0.073,0.0634,0.0284,0.0445,0.0103,0.0825
44.4643,0.741071667,0.0446,-0.1495,-0.0358,-0.0819,-0.0397,-0.1754,-0.0338,0.0863,-0.0086,0.0496,0.0252,0.0084,0.0138
45.3601,0.756001667,-0.0394,-0.0801,-0.1159,-0.1405,-0.0756,-0.1733,-0.2847,-0.0063,0.0499,0.0221,0.011,-0.0146,-0.0316
46.2282,0.77047,0.0895,-0.1937,-0.0763,-0.0956,-0.0573,-0.0674,-0.4454,0.0148,0.0243,0.0536,0.0294,-0.0011,-0.0419
47.1008,0.785013333,0.0355,-0.0378,-0.1302,-0.1447,-0.1835,-0.1265,-0.4613,0.073,0.0628,0.0568,-0.0016,-0.0121,-0.0666
47.9824,0.799706667,0.1265,-0.1732,-0.1999,-0.1936,-0.0602,-0.0385,-0.4321,0.0395,0.0347,0.0085,0.0221,0.0641,0.0323
48.8615,0.814358333,0.0765,-0.1295,-0.2028,-0.0611,-0.0571,0.0137,0.0204,0.0443,0.0537,0.0269,0.0569,0.0427,0.1041
49.6836,0.82806,-0.0387,-0.1574,-0.1665,-0.091,0.0029,-0.3151,0.0511,0.0657,0.0269,0.0421,0.0261,0.0357,-0.0166
50.5459,0.842431667,-0.0694,-0.2917,-0.1239,-0.1396,-0.1551,-0.1188,0.0393,0.0859,0.0449,0.036,0.0365,-0.0179,-0.1062
51.283,0.854716667,-0.0121,-0.1201,-0.0638,-0.0703,-0.0829,-0.0538,0.1367,0.0893,0.005,0.0559,0.0313,0.0182,-0.0781
51.961,0.866016667,0.1018,-0.0843,-0.0224,-0.1071,-0.0739,-0.2665,-0.1144,0.043,0.0423,0.0457,0.0362,-0.0029,-0.0025
52.8134,0.880223333,0.073,-0.0504,-0.2304,-0.1752,-0.1115,-0.2448,-0.4419,0.0752,0.0326,0.0518,0.023,0.0643,0.0116
53.6717,0.894528333,0.017,-0.1089,-0.1374,-0.1636,-0.1081,-0.1567,0.2873,0.1017,0.0215,0.049,0.0448,0.0245,-0.0789
54.5591,0.909318333,0.1115,-0.1677,-0.0731,-0.0906,-0.089,-0.0783,0.2557,0.1035,0.0092,0.0206,0.0525,0.0382,-0.0689
55.448,0.924133333,0.0383,-0.1986,-0.1687,-0.1452,-0.0237,-0.1811,0.0366,0.0734,0.0657,0.0304,0.0353,0.0759,0.0636
56.3055,0.938425,0.0259,-0.2045,-0.1406,-0.0763,-0.1153,-0.0113,-0.477,0.037,0.0435,0.051,0.0345,0.0473,0.0177
57.1673,0.952788333,-0.0382,-0.1721,-0.0935,-0.1327,-0.1796,-0.0909,-0.3353,0.1059,0.0309,0.0247,0.0454,0.0175,-0.1744
58.0035,0.966725,0.0236,-0.1723,-0.1538,-0.1759,-0.1581,-0.1449,-0.3845,0.048,0.0563,0.0364,0.0097,0.0713,-0.1032
58.8812,0.981353333,0.0283,-0.1628,-0.1212,-0.1188,-0.1209,-0.1538,-0.0517,0.0957,0.0011,0.0377,0.024,0.021,0.0212
59.7584,0.995973333,0.0277,-0.203,-0.0748,-0.1976,-0.1903,-0.0142,-0.2502,0.0515,0.0592,0.0304,0.0153,0.0015,0.0528
60.6245,1.010408333,0.1261,-0.0942,-0.1154,-0.1348,-0.1074,-0.0855,-0.4637,0.0633,0.024,-0.0071,0.0317,0.0444,-0.1788
61.5215,1.025358333,0.0818,-0.2887,-0.24,-0.1162,-0.0821,-0.1933,0.2955,0.0431,0.0587,0.0163,0.0442,-0.015,0.0519
62.3994,1.03999,0.166,-0.2016,-0.1968,-0.2625,-0.0858,0.0474,-0.1474,0.066,-0.0023,0.0314,0.0181,-0.0166,-0.103
63.2655,1.054425,-0.0295,-0.2119,-0.2098,-0.1676,-0.1244,-0.1844,-0.2447,0.0873,0.0244,0.0284,0.0319,0.0179,0.0504
64.1434,1.069056667,0.0596,-0.2519,-0.0457,-0.2051,-0.1716,-0.3198,-0.453,0.0578,0.0267,0.0236,0.034,0.0504,0.2731
65.0422,1.084036667,-0.1055,-0.2089,-0.1756,-0.0799,-0.1577,-0.1488,0.0914,0.0747,0.0066,0.0148,0.0402,0.0318,-0.0098
65.9252,1.098753333,-0.0097,-0.2231,-0.24,-0.1974,-0.1506,-0.2976,-0.1521,0.0409,-0.0163,0.0104,0.0459,0.015,0.0469
66.8111,1.113518333,0.0205,-0.1662,-0.1723,-0.1217,-0.2168,-0.2559,-0.0191,0.0479,0.0367,0.0704,0.0159,-0.0742,-0.1936
67.7042,1.128403333,0.1572,-0.1231,-0.1667,-0.1655,-0.1408,0.023,-0.2327,0.0821,0.0424,0.0221,0.0473,0.0315,-0.005
68.6042,1.143403333,-0.0086,-0.3131,-0.1523,-0.0802,-0.1343,-0.0213,0.0867,0.1208,0.047,0.0301,0.0624,-0.0058,0.0535
69.4599,1.157665,0.0247,-0.1246,-0.1444,-0.1918,-0.123,-0.1316,-0.3873,0.0442,0.0267,0.0432,0.0532,-0.0136,-0.0708
