Time_s	f1_Hz	f3_Hz	f5_Hz	f7_Hz	f9_Hz	f11_Hz	f13_Hz	D1_ppm	D3_ppm	D5_ppm	D7_ppm	D9_ppm	D11_ppm	D13_ppm
0.0000	0.0901	0.0131	0.1345	0.1103	0.0092	0.2760	-0.0407	-0.0702	-0.0083	-0.0266	-0.0033	-0.0149	-0.0507	-0.0203
1.7677	0.0283	0.0426	0.0272	-0.0262	-0.0636	0.0752	0.5184	0.0143	0.0391	0.0141	-0.0443	-0.0046	-0.0675	-0.0370
3.5588	-0.0016	0.0589	0.0331	0.0961	0.1066	0.0815	0.1800	0.0381	-0.0196	-0.0499	0.0174	-0.0106	0.0625	0.1381
5.2911	0.1279	-0.0805	0.0598	0.1055	-0.0539	-0.2090	-0.1810	-0.0440	-0.0131	0.0166	-0.0007	0.0074	-0.0546	0.0103
7.1054	-0.0049	0.0667	0.1074	-0.0673	0.0201	0.0614	0.1342	-0.0003	-0.0344	-0.0301	0.0000	-0.0183	0.0046	0.1090
8.9055	0.0362	-0.0213	0.0128	0.0170	-0.0197	0.1310	-0.1058	-0.0068	-0.0580	-0.0149	-0.0272	-0.0010	-0.0378	0.0162
10.6686	0.0050	0.0879	0.1084	0.0518	0.0603	-0.1360	0.1013	-0.0059	-0.0187	-0.0095	-0.0099	-0.0128	0.0480	0.0398
12.4001	0.1286	0.1065	-0.0261	0.0252	0.0159	-0.1611	0.0147	0.0074	0.0258	0.0595	-0.0296	0.0032	-0.0086	-0.0372
13.9735	0.0738	-0.0349	0.0351	-0.0501	0.0363	0.0913	-0.1542	-0.0169	-0.0363	0.0144	0.0098	0.0045	0.0006	-0.0548
15.6481	0.0644	0.1381	-0.0629	-0.0212	0.0743	-0.0408	-0.0713	-0.0129	0.0294	-0.0419	0.0062	-0.0018	0.1466	0.0753
17.3701	-0.0458	0.1009	0.0915	-0.0539	-0.0221	-0.0803	0.2986	0.0275	-0.0350	-0.0219	0.0185	0.0013	0.0128	-0.0338
19.1476	-0.0830	-0.0426	-0.0260	-0.0081	0.0355	-0.1083	0.0638	-0.0124	0.0919	0.0028	-0.0028	-0.0078	0.0099	-0.0189
20.9039	0.0263	-0.0020	-0.1750	-0.0433	-0.0466	-0.0401	-0.3489	0.0006	-0.0038	0.0138	0.0050	0.0100	-0.0333	-0.0083
22.7160	-0.1077	-0.0827	0.1095	-0.0316	-0.0422	0.1289	-0.0530	-0.0190	0.0191	0.0239	0.0071	-0.0045	0.0621	-0.0910
24.5014	-0.1185	-0.0417	-0.0470	0.0282	0.0030	0.0897	0.0802	0.0343	-0.0176	-0.0077	0.0121	0.0071	0.0152	0.0247
26.2692	-0.0692	-0.0680	-0.0043	-0.0283	0.0077	0.1727	0.0991	-0.0349	0.0105	0.0179	0.0045	0.0170	-0.0613	0.0032
28.0738	-0.0085	-0.1797	-0.1018	0.0396	0.0162	0.1409	-0.2134	-0.0275	0.0177	0.0181	0.0224	0.0078	0.0504	0.0555
29.8476	-0.0623	-0.0553	-0.0989	-0.0502	-0.0167	0.0065	0.1180	0.0589	0.0148	0.0061	0.0068	-0.0020	0.0181	-0.1234
31.6151	0.0119	-0.0534	-0.0529	-0.0882	-0.0241	-0.2003	-0.1841	0.0466	0.0049	-0.0130	-0.0069	0.0266	-0.0604	0.0861
33.3939	-0.0934	0.0084	-0.0223	-0.0113	-0.0383	-0.1640	-0.1272	-0.0034	-0.0360	-0.0115	0.0077	-0.0057	-0.0750	-0.0323
35.1860	0.0025	0.0390	-0.1021	0.0061	-0.0580	-0.1152	-0.1286	0.0263	0.0276	0.0397	0.0072	-0.0009	0.0186	-0.1012
36.9741	-0.0526	-0.1316	-0.1600	-0.1124	-0.0605	0.0183	-0.0012	0.0716	0.0498	0.0512	0.0301	-0.0017	-0.0646	-0.2989
38.7514	-0.1207	-0.0540	-0.0913	-0.0180	-0.0172	-0.0473	0.3527	0.0516	0.0229	-0.0115	-0.0114	-0.0084	0.1465	0.0689
