Time_s	f1_Hz	f3_Hz	f5_Hz	f7_Hz	f9_Hz	f11_Hz	f13_Hz	D1_ppm	D3_ppm	D5_ppm	D7_ppm	D9_ppm	D11_ppm	D13_ppm
0.0000	0.9888	0.0885	0.1011	0.2115	0.1987	-0.0131	0.0998	0.0178	-0.0657	-0.1155	-0.0513	-0.0453	-0.0901	-0.2189
1.7694	0.4948	0.2695	0.0515	0.1669	0.0736	0.3417	0.0512	0.0089	-0.1025	-0.0906	-0.0620	-0.0185	-0.0273	-0.0823
3.4251	0.0626	-0.0401	-0.1558	-0.1188	-0.1104	-0.3090	0.0799	0.3528	0.0839	0.0054	0.0188	0.0165	0.0789	0.0945
5.0524	-0.2744	-0.3662	-0.3090	-0.2257	-0.1906	-0.1018	0.0577	0.3670	0.1827	0.1430	0.0912	0.1009	0.1547	-0.2957
6.6963	-0.4025	-0.1852	-0.3201	-0.2636	-0.3280	-0.1801	-0.1543	0.3583	0.1841	0.2584	0.1284	0.1574	-0.0335	0.1210
8.3243	-0.3310	-0.4169	-0.3832	-0.2328	-0.2820	-0.2133	0.3072	0.3016	0.1782	0.1975	0.1247	0.0581	0.1921	0.2519
9.9293	-0.2666	-0.1814	-0.2388	-0.0658	-0.0528	0.0353	0.1317	0.2260	0.0634	0.1019	0.0640	0.0393	-0.0182	-0.0646
11.5991	-0.0604	-0.0503	0.0601	0.0336	-0.0014	0.1462	0.2473	0.1236	0.0401	0.0011	0.0334	-0.0044	-0.0745	0.1079
13.2710	-0.0987	-0.0668	0.2192	-0.0936	-0.0694	0.0620	0.4079	0.0501	0.0101	0.0170	-0.0097	0.0006	0.0725	0.0628
15.0557	-0.0318	0.0819	0.1197	0.0109	0.0858	-0.0659	0.0237	-0.0628	-0.0258	-0.0453	0.0029	-0.0266	0.0431	-0.0110
16.7809	0.0574	0.1534	0.1646	0.0747	0.0950	-0.0163	-0.4140	-0.0481	-0.0306	-0.0281	-0.0199	-0.0317	0.0091	-0.1231
18.5189	0.0889	0.0674	0.0660	0.1074	0.0579	-0.1264	0.4987	-0.0846	-0.0170	-0.0090	-0.0446	-0.0343	-0.0563	0.3632
20.2770	0.0732	-0.0189	0.1073	-0.0114	0.0769	-0.0307	-0.1629	-0.0692	-0.0189	-0.0846	-0.0207	0.0042	-0.1021	0.0344
22.0572	0.0844	0.0737	0.0768	0.1389	0.1421	0.4227	-0.2258	-0.1238	-0.0777	-0.0535	-0.0264	0.0025	-0.1597	0.1125
23.6989	0.0355	0.0822	0.1483	-0.0230	-0.0725	-0.1002	0.0626	-0.1403	-0.0641	-0.0336	-0.0019	-0.0180	0.0105	0.1174
25.4658	0.0117	0.1713	0.1702	0.0857	0.0660	0.1324	0.1536	-0.1941	-0.0845	-0.0124	-0.0540	-0.0133	-0.0503	-0.0480
27.2329	0.1003	0.1491	0.0222	0.1043	0.1121	0.0168	0.2014	-0.1679	-0.0112	-0.0872	-0.0165	-0.0522	-0.0113	-0.1834
29.0097	-0.1102	-0.0187	0.0747	0.0702	0.0420	0.1937	-0.5873	-0.1974	-0.0522	-0.0534	-0.0737	-0.0036	-0.0259	0.0485
30.7609	-0.0798	0.0698	-0.0028	-0.0682	0.0716	-0.0724	-0.4735	-0.2275	-0.1104	-0.0314	-0.0497	-0.0559	0.0927	-0.1576
