Time_s	f1_Hz	f3_Hz	f5_Hz	f7_Hz	f9_Hz	f11_Hz	f13_Hz	D1_ppm	D3_ppm	D5_ppm	D7_ppm	D9_ppm	D11_ppm	D13_ppm
0.0000	-0.9288	0.0051	0.0093	0.0115	0.1300	0.1538	-0.0882	0.2299	0.0404	-0.0322	-0.0376	-0.0097	0.0367	0.0370
1.7412	-0.0947	0.0466	-0.0163	-0.0263	0.0277	0.1395	-0.4686	0.0427	0.0554	0.0387	-0.0066	0.0048	0.1219	0.0401
3.4937	-0.0747	0.0282	0.0312	-0.0682	-0.0020	0.2967	0.0604	0.0086	0.0294	0.0082	0.0122	-0.0004	0.0229	0.0699
5.3078	-0.0336	0.0069	0.0137	0.0744	0.0531	-0.0328	-0.0137	0.0050	-0.0386	-0.0022	0.0031	0.0188	-0.0036	0.0032
7.0718	-0.0816	0.0559	-0.0214	0.0423	-0.0974	-0.0661	0.0895	-0.0336	0.0103	0.0064	0.0003	-0.0010	0.0002	0.1798
8.8738	-0.0018	0.0155	0.0508	0.0299	0.0244	-0.0633	-0.0724	-0.0119	0.0227	-0.0038	0.0207	0.0177	0.0509	-0.0024
10.6331	-0.0103	0.0222	-0.0329	0.0459	-0.0136	0.0840	0.0889	-0.0386	-0.0265	0.0009	0.0200	0.0096	0.0106	-0.1492
12.4240	0.0899	-0.0505	-0.0398	0.1174	-0.0587	0.3711	1.4213	0.0040	-0.0379	-0.0005	0.0145	0.0270	-0.0790	-0.0554
14.2200	-0.0002	-0.0519	0.0368	-0.0492	-0.0309	0.0368	-0.5753	-0.0006	0.0050	0.0032	-0.0090	-0.0168	-0.0656	-0.0094
15.9792	0.0523	-0.0691	-0.0373	0.0355	0.0041	-0.1190	0.5532	-0.0133	-0.0263	-0.0461	0.0271	-0.0170	-0.0361	-0.0627
17.7716	0.1587	-0.0087	0.0258	-0.0342	-0.1000	-0.0388	0.1457	-0.0108	0.0148	0.0002	0.0099	0.0026	-0.0423	0.0092
19.5309	0.0359	-0.0011	0.0017	-0.0289	-0.0213	-0.1056	-0.1780	-0.0388	-0.0545	-0.0092	-0.0016	0.0034	0.0654	-0.0823
21.3091	0.0598	0.0138	0.0148	0.0100	-0.0583	-0.0996	0.3843	-0.0103	-0.0222	-0.0098	-0.0038	0.0362	-0.0319	-0.0984
23.0336	-0.0416	-0.0627	-0.0121	0.0064	-0.0558	0.0348	0.2369	-0.0091	-0.0019	0.0217	-0.0063	-0.0380	0.0013	-0.1288
24.8118	0.1199	0.1178	-0.0739	-0.0489	0.0363	-0.1326	-0.5594	-0.0734	-0.0480	0.0337	-0.0141	-0.0165	-0.0434	-0.0040
26.5853	0.1311	0.0716	0.0264	0.0299	-0.0103	0.0874	-0.2525	-0.0189	0.0058	0.0032	-0.0387	-0.0324	-0.0409	0.0431
28.3906	0.0959	0.0582	-0.0377	-0.0370	0.0440	-0.2518	0.3225	-0.0321	-0.0674	-0.0161	0.0196	0.0049	0.0116	0.1399
30.0950	0.1670	-0.0021	-0.0674	-0.0231	0.0035	-0.2766	-0.4737	-0.0030	0.0785	0.0066	0.0026	0.0044	0.0872	-0.0511
31.8871	0.1274	0.0176	0.0232	-0.0439	0.0796	0.0519	-0.0860	0.0214	0.0250	-0.0438	-0.0059	0.0008	-0.0139	-0.0951
33.6372	0.1551	-0.0411	0.0206	-0.0259	0.0201	-0.0800	-0.5636	-0.0266	0.0310	0.0493	-0.0105	0.0007	0.0216	0.1151
35.3877	0.0740	-0.1722	0.0844	-0.0177	0.0255	0.0102	0.0287	0.0095	0.0050	-0.0084	0.0040	0.0008	-0.0734	0.1015
37.1392	0.1568	-0.1257	-0.0048	-0.0431	-0.0565	0.2584	-0.4150	-0.0175	-0.0112	0.0353	0.0219	-0.0120	-0.0220	0.0907
38.9278	0.1467	-0.0286	-0.1318	0.0218	0.0169	-0.1341	-0.2138	-0.0316	-0.0341	0.0611	0.0112	0.0111	-0.1465	0.0899
40.6631	0.1112	-0.0450	-0.0644	0.0261	0.0348	-0.0820	0.2545	-0.0092	0.0230	0.0462	0.0261	0.0143	0.0119	-0.0169
