Time_s	f1_Hz	f3_Hz	f5_Hz	f7_Hz	f9_Hz	f11_Hz	f13_Hz	D1_ppm	D3_ppm	D5_ppm	D7_ppm	D9_ppm	D11_ppm	D13_ppm
64.5682	-0.0905	-0.2025	-0.2903	-0.1451	-0.1355	-0.3461	-0.1528	0.0331	0.0349	0.0057	0.0515	0.0353	0.0438	0.0674
66.1899	-0.2563	-0.2871	-0.1241	-0.1587	-0.1567	-0.0330	0.4539	0.0028	-0.0249	0.0664	0.0360	-0.0101	-0.0191	0.2585
67.9041	0.0193	-0.2213	-0.3003	-0.2487	-0.0991	-0.3442	-0.3464	-0.0303	0.0461	0.0552	0.0012	0.0414	-0.1034	0.0655
69.6835	-0.1175	-0.2945	-0.2164	-0.1515	-0.2514	-0.1314	-0.3995	0.0002	-0.0073	-0.0353	-0.0076	0.0666	-0.0346	0.0103
71.4266	-0.1975	-0.2300	-0.1470	-0.0926	-0.1003	-0.3685	-0.2014	0.0368	0.0277	0.0357	0.0343	0.0243	0.0782	-0.1087
73.2094	-0.0776	-0.3996	-0.2147	-0.1646	-0.2473	-0.4395	-0.2400	0.0087	0.0423	0.0075	0.0052	0.0457	0.0855	-0.1065
75.0059	-0.1246	-0.1595	-0.3953	-0.2242	-0.2093	-0.1103	0.2168	0.0285	0.0921	0.0242	0.0284	0.0531	0.0348	0.2640
76.8419	-0.2037	-0.2817	-0.2209	-0.1943	-0.2376	-0.2260	0.1478	0.0690	0.0247	0.0415	0.0829	0.0220	-0.0631	0.0217
78.6127	-0.1588	-0.3782	-0.1947	-0.2620	-0.1120	-0.2687	-0.3592	0.0068	0.0717	0.0883	0.0497	0.0546	0.0242	-0.1317
80.3719	-0.3556	-0.2411	-0.2708	-0.2420	-0.1988	-0.1535	-0.3990	-0.0345	0.0227	0.0321	0.0352	-0.0123	-0.0310	0.1099
82.1540	-0.1652	-0.4002	-0.1135	-0.2359	-0.1451	-0.3798	-0.3777	0.0076	0.0036	0.0199	0.0599	0.0298	-0.0024	0.0252
83.9384	-0.1597	-0.3365	-0.2969	-0.1348	-0.2987	-0.3827	-0.5254	0.0227	0.0467	0.0490	0.0476	0.0350	-0.1133	0.2435
85.6699	-0.2439	-0.3169	-0.1940	-0.1917	-0.1977	-0.4430	-0.1015	0.0245	-0.0128	0.0562	0.0092	0.0011	-0.0133	0.0903
87.4365	-0.1533	-0.2757	-0.1931	-0.2643	-0.2168	-0.4546	0.1276	0.0833	0.0648	0.0164	0.0341	0.0599	-0.0070	0.0658
89.1947	-0.2394	-0.2693	-0.2573	-0.2242	-0.1641	-0.4615	-0.3679	-0.0036	0.0058	0.0337	0.0450	0.0849	0.1417	-0.0658
90.9147	-0.2419	-0.3638	-0.2182	-0.1984	-0.3922	-0.1823	0.0652	0.0135	0.0057	0.0683	0.0446	0.0598	0.0310	-0.0751
92.6999	-0.2607	-0.3663	-0.1395	-0.2410	-0.2332	-0.4435	-0.3024	0.0003	0.0630	0.0489	0.0577	0.0528	0.0747	0.1418
94.4403	-0.0963	-0.4616	-0.3256	-0.3065	-0.3103	-0.2234	-0.2217	0.0194	0.0808	0.0416	0.0770	0.0220	0.1278	0.1431
96.1940	-0.2063	-0.4265	-0.2869	-0.2827	-0.3610	-0.1487	-0.3721	0.0478	0.0254	0.0161	0.0636	0.0558	0.0117	0.0598
97.9597	-0.3200	-0.3203	-0.2574	-0.3172	-0.2212	-0.3475	-1.3914	0.0705	0.0748	0.0500	0.0630	0.0367	0.0124	0.1195
99.7124	-0.1567	-0.3393	-0.4397	-0.2559	-0.2536	-0.4967	-0.2635	0.0438	0.0329	0.0268	0.0552	0.0293	0.1150	-0.0266
101.4257	-0.0866	-0.4332	-0.3762	-0.2304	-0.3350	-0.4376	0.1273	0.0320	0.0706	0.0815	0.0505	0.0665	0.0341	0.1680
103.2047	-0.2898	-0.3698	-0.5361	-0.3371	-0.3762	-0.2340	-0.0627	0.0738	0.1321	0.0125	0.0390	0.0046	0.0934	-0.0245
104.9516	-0.2100	-0.4700	-0.3703	-0.2824	-0.3673	-0.2140	-0.0352	-0.0002	0.0390	0.0556	0.0526	0.0717	0.0111	0.0621
106.6823	-0.2710	-0.3487	-0.4146	-0.3338	-0.2022	-0.3893	-0.2472	0.0660	0.0439	0.0390	0.0703	0.0353	-0.0193	0.1296
108.4487	-0.2321	-0.3721	-0.2919	-0.3081	-0.4190	-0.2344	-0.6293	0.0849	0.0246	0.0626	0.0465	0.0263	0.0432	-0.0031
110.2017	-0.1222	-0.3477	-0.3398	-0.3647	-0.3059	-0.5383	-0.7987	-0.0171	0.0451	0.0658	0.0578	0.0398	0.0305	0.2332
111.9259	-0.1495	-0.2807	-0.3912	-0.3474	-0.3553	-0.2653	-0.2025	0.0590	0.1056	0.0648	0.0456	0.0509	0.0410	-0.2792
113.6707	-0.2749	-0.3641	-0.4698	-0.2860	-0.4072	-0.4176	-0.1446	0.1106	0.0362	0.0461	0.0706	0.0495	0.0383	0.1814
