Time_s	f1_Hz	f3_Hz	f5_Hz	f7_Hz	f9_Hz	f11_Hz	f13_Hz	D1_ppm	D3_ppm	D5_ppm	D7_ppm	D9_ppm	D11_ppm	D13_ppm
63.5012	-1.3498	0.0023	0.0511	-0.0230	-0.0304	0.1021	0.5160	-0.2651	-0.0294	0.0277	0.0149	0.0188	0.0808	-0.0969
65.2012	-1.5490	-0.0175	0.0135	-0.0495	0.0470	-0.1087	-0.1843	-0.3354	0.0479	-0.0004	-0.0217	-0.0008	0.0628	0.0616
66.7773	-1.4967	-0.0661	-0.0702	-0.0272	0.0335	-0.6094	-0.0939	-0.3646	0.0357	0.0128	0.0055	-0.0110	-0.0364	-0.1272
68.4552	-1.4689	-0.0297	-0.0895	-0.0489	0.0109	-0.1704	0.9336	-0.3230	0.0198	0.0178	-0.0106	-0.0005	-0.0943	0.0265
70.1548	-1.4881	0.0091	-0.0801	0.0151	0.0033	0.0355	0.2320	-0.3149	-0.0054	0.0162	0.0109	0.0225	-0.0360	0.0027
71.8712	-1.7400	-0.0051	0.0553	0.0510	-0.0022	-0.0929	0.0201	-0.3355	-0.0377	0.0012	0.0228	0.0035	0.0296	0.0998
73.5202	-1.7861	-0.0805	0.0257	0.0139	-0.0783	0.0240	0.3430	-0.3144	0.0242	-0.0426	-0.0441	0.0013	0.0583	0.2244
75.2973	-1.5973	-0.0210	-0.0858	-0.0451	0.0021	-0.2093	-0.3983	-0.2907	0.0510	-0.0391	0.0020	0.0012	0.0849	0.2351
77.0519	-1.9182	-0.0664	-0.1318	-0.0046	0.0063	0.0937	-0.0524	-0.4022	0.0091	0.0266	-0.0048	-0.0005	0.0113	0.0680
78.8085	-2.1317	-0.0797	-0.0157	-0.0545	0.0055	-0.0344	-0.1293	-0.4041	0.0121	0.0050	-0.0073	-0.0187	-0.0279	0.0356
80.5951	-2.1685	-0.0228	-0.1491	0.0105	-0.0514	-0.0986	-0.2335	-0.3685	0.0023	0.0266	0.0248	0.0118	0.0389	0.1960
82.3477	-2.2201	0.0557	-0.0824	0.0270	-0.0196	-0.0180	-0.0976	-0.3869	-0.0271	0.0291	0.0197	0.0044	-0.0230	0.1419
84.0108	-2.2325	-0.0541	-0.0214	0.0441	0.0236	-0.2160	-0.0635	-0.3757	0.0165	0.0274	-0.0092	0.0489	-0.0276	0.1040
85.6534	-2.2653	-0.0324	-0.0468	-0.0519	-0.0996	-0.2635	-0.2922	-0.3732	-0.0321	0.0045	0.0070	0.0071	0.0067	0.1838
87.3069	-2.2196	0.0073	0.0571	0.0310	0.0380	-0.1687	-0.6362	-0.4161	0.0123	0.0304	0.0120	0.0270	-0.0535	0.2206
88.9533	-2.3145	0.0082	-0.0050	-0.0411	-0.0579	-0.1357	-0.0680	-0.4410	0.0439	0.0115	-0.0138	0.0206	-0.0887	0.1834
90.6604	-2.4054	-0.0324	-0.0534	0.0187	-0.0181	-0.0560	-0.4380	-0.4050	-0.0035	0.0087	-0.0106	0.0176	0.0602	0.0058
92.4133	-2.4584	-0.0661	0.0184	0.0900	0.0041	-0.1018	-0.0181	-0.3526	-0.0231	0.0131	0.0048	0.0340	0.0699	-0.0234
94.1487	-2.2614	0.0979	-0.1444	0.0071	0.0213	-0.0313	0.4169	-0.3907	0.0269	0.0233	0.0260	0.0053	0.0245	0.1904
95.9033	-2.4133	-0.0023	-0.0475	0.0307	-0.0482	-0.1253	0.0219	-0.4247	-0.0020	0.0085	-0.0157	-0.0076	0.0754	0.1413
97.5220	-2.7011	-0.0611	0.0368	0.0028	0.0374	-0.0374	0.3004	-0.4185	0.0088	-0.0300	-0.0026	0.0219	-0.0322	0.0190
99.2335	-2.7924	0.0441	-0.0247	0.0138	0.0457	-0.0974	0.3530	-0.3669	-0.0077	0.0316	-0.0117	0.0172	-0.0012	-0.0422
101.0018	-2.5076	-0.0586	-0.0175	-0.0039	-0.0283	-0.0478	-0.1019	-0.4022	-0.0048	0.0026	0.0267	0.0150	0.0303	0.2161
102.7456	-2.5811	-0.0668	-0.1504	-0.0405	0.0032	-0.1488	0.6714	-0.3921	0.0017	0.0225	0.0275	0.0115	-0.1257	0.0533
104.4711	-2.5481	-0.1704	-0.0648	-0.0134	-0.0030	0.0246	0.4897	-0.3495	-0.0380	-0.0468	-0.0063	-0.0189	-0.0331	0.0857
106.2293	-2.6698	-0.0450	-0.1472	0.0512	0.0481	0.0271	0.3399	-0.3862	0.0270	0.0579	0.0007	0.0203	0.0735	-0.0585
107.9792	-2.6624	-0.0780	0.0371	0.0101	-0.0232	0.0122	-0.0648	-0.4051	-0.0193	0.0417	-0.0082	0.0169	-0.0064	0.0153
109.7373	-2.6737	-0.0497	-0.1300	-0.0140	-0.0801	-0.0507	-0.0825	-0.3854	-0.0138	0.0138	-0.0147	0.0281	0.0478	0.1297
111.4600	-2.6641	0.0075	-0.1242	-0.0559	-0.0040	-0.0579	0.5498	-0.4073	-0.0323	0.0446	-0.0078	0.0303	0.0237	-0.0703
113.2161	-2.8129	0.0328	-0.0396	-0.0064	0.0020	0.0212	0.3841	-0.4019	0.0014	-0.0224	-0.0095	0.0048	0.1492	0.0371
114.9133	-2.7269	-0.0292	-0.0262	0.0002	-0.1170	0.1123	-0.1010	-0.4404	-0.0250	0.0483	0.0060	0.0063	0.1375	0.1664
116.6753	-2.8450	-0.0236	-0.0276	0.0025	-0.0251	-0.0864	-0.1189	-0.4474	-0.0147	0.0389	0.0517	0.0182	-0.0004	0.2533
118.4080	-2.9302	-0.1185	-0.0479	-0.0750	-0.0128	0.2136	0.6674	-0.4257	0.0195	0.0220	0.0310	0.0142	0.0028	-0.0829
120.1138	-2.9658	-0.0652	-0.0845	0.0171	-0.0642	-0.2076	0.4595	-0.4271	-0.0117	-0.0246	0.0025	0.0093	0.0176	0.1025
121.8798	-3.1164	-0.1843	-0.1405	0.0422	-0.0078	0.0739	0.5104	-0.4591	-0.0071	0.0026	0.0388	0.0176	0.1158	0.0071
