Time_s	f1_Hz	f3_Hz	f5_Hz	f7_Hz	f9_Hz	f11_Hz	f13_Hz	D1_ppm	D3_ppm	D5_ppm	D7_ppm	D9_ppm	D11_ppm	D13_ppm
65.4086	0.0512	0.0545	0.0164	-0.0222	-0.0024	-0.1883	-0.0415	-0.0503	-0.0364	0.0103	0.0118	-0.0097	0.0316	-0.1169
67.1626	0.1670	-0.0636	0.0383	-0.0306	-0.0281	0.1420	-0.1885	-0.1412	-0.0264	-0.0396	0.0111	0.0203	0.0333	0.0500
68.8365	0.0531	0.0901	0.0230	0.0297	0.0978	-0.2125	0.4236	-0.0609	0.0195	-0.0054	0.0115	0.0008	0.0701	-0.0364
70.4927	0.1510	0.0305	-0.0341	-0.0764	0.0277	-0.0698	-0.0396	-0.1183	-0.0285	-0.0058	0.0103	0.0109	-0.0312	-0.0137
72.2064	0.0819	0.0878	0.1049	0.1433	-0.0156	0.2096	-0.3360	-0.1147	-0.0061	-0.0387	-0.0091	0.0006	-0.0196	-0.1935
73.9487	0.1251	0.0961	0.0047	0.0168	0.0372	-0.0682	-0.2701	-0.0952	-0.0331	-0.0086	-0.0227	0.0170	-0.0745	0.2351
75.7085	0.0982	-0.0271	-0.0549	-0.0522	0.0071	0.1750	0.2192	-0.0331	-0.0193	0.0366	-0.0093	0.0284	-0.1047	-0.0873
77.4284	0.1204	0.0295	0.0657	0.0256	0.0053	-0.0593	0.3776	-0.1037	-0.0514	-0.0335	0.0067	0.0137	0.0436	-0.2816
79.1906	0.0424	-0.0024	-0.0578	0.0642	0.0281	0.0538	0.1097	-0.1155	-0.0263	0.0250	0.0289	0.0122	-0.0128	-0.0726
80.9940	0.1115	0.0623	-0.0031	0.0678	0.0126	0.0375	-0.3713	-0.0375	-0.0218	-0.0082	-0.0313	-0.0006	-0.0304	0.0627
82.7394	0.0344	-0.0348	-0.0456	0.0293	-0.0501	0.1994	0.6041	-0.1164	0.0297	-0.0223	0.0017	-0.0007	0.0049	-0.0025
84.5067	0.1027	0.0231	-0.0390	-0.0475	0.0229	0.1695	0.0517	-0.1043	0.0216	-0.0166	-0.0047	-0.0025	0.0386	-0.2290
86.2526	0.1732	0.0894	-0.0041	-0.1040	-0.0278	-0.0156	-0.0827	-0.0219	-0.0024	0.0730	-0.0142	0.0006	0.0268	-0.1008
88.0332	0.2009	0.0114	-0.0322	0.0508	0.0119	-0.2496	0.0848	-0.1577	0.0739	0.0032	0.0101	0.0147	0.0056	0.1592
89.7588	0.2232	0.0047	-0.0056	-0.0053	0.0883	-0.0731	0.1238	-0.0711	0.0616	-0.0265	-0.0347	0.0300	0.1027	-0.1511
91.5104	0.1143	-0.0040	-0.1320	-0.0473	0.0237	0.1814	-0.1058	-0.0648	-0.0064	-0.0001	-0.0099	0.0337	-0.1133	0.0984
93.2658	0.1565	-0.0732	-0.1017	0.0174	0.0403	-0.0148	-0.0868	-0.1258	-0.0360	-0.0375	-0.0056	0.0304	-0.0521	-0.0955
95.0184	0.0508	-0.0516	-0.0685	-0.0542	-0.0039	0.0013	0.0253	-0.1095	-0.0058	0.0009	-0.0278	-0.0044	-0.0483	-0.2173
96.7206	-0.0042	0.0510	0.0503	0.0923	-0.0153	0.1789	0.3594	-0.0700	-0.0350	-0.0032	0.0108	0.0202	0.0242	0.1156
98.4824	0.0943	0.0775	-0.0206	0.0073	0.0820	-0.0133	-0.1077	-0.1217	0.0275	0.0048	0.0048	-0.0197	-0.0651	0.2728
100.2006	0.2209	0.0583	-0.0235	-0.0042	0.0209	-0.0546	0.1597	-0.1296	0.0186	-0.0052	0.0112	-0.0013	-0.0236	-0.0223
101.9638	-0.0353	-0.0514	0.0454	0.0213	-0.0585	-0.1387	0.1641	-0.0101	-0.0352	0.0055	0.0250	-0.0169	-0.0887	-0.1695
