Time_s	f1_Hz	f3_Hz	f5_Hz	f7_Hz	f9_Hz	f11_Hz	f13_Hz	D1_ppm	D3_ppm	D5_ppm	D7_ppm	D9_ppm	D11_ppm	D13_ppm
0.0000	0.0876	0.0966	0.0534	0.0211	0.0312	0.0419	0.4174	0.0038	-0.0280	0.0242	-0.0158	0.0022	0.0710	0.0057
1.7799	0.1124	0.1306	0.0527	0.0112	0.0797	0.0562	-0.4688	0.0117	0.0342	-0.0128	-0.0099	-0.0463	0.0522	0.2007
3.5499	0.0504	0.0448	-0.0253	-0.0089	-0.0158	-0.1236	-0.1016	-0.0070	0.0035	0.0041	-0.0078	0.0133	0.0469	-0.0286
5.3278	0.1367	0.0197	-0.0046	-0.0506	0.0886	-0.1224	0.2404	-0.0336	-0.0080	0.0133	-0.0038	-0.0001	-0.0377	-0.0683
7.0866	0.0356	0.0515	0.0533	0.0046	-0.0277	-0.1092	0.5597	-0.0059	0.0298	-0.0082	-0.0230	0.0024	0.0403	-0.0884
8.9082	0.0611	0.0060	0.0064	0.0720	0.0472	0.2362	0.3794	0.0005	-0.0383	0.0092	-0.0243	-0.0072	0.0114	-0.0648
10.6738	-0.0042	0.0615	0.0112	-0.0147	0.0137	-0.0069	0.2673	-0.0313	0.0044	-0.0074	-0.0150	0.0211	-0.0159	0.0224
12.4079	-0.1012	0.0116	0.0580	0.0424	0.0614	-0.0735	0.1244	-0.0314	0.0375	0.0267	-0.0015	-0.0076	0.0286	-0.0049
14.1738	0.0664	-0.0982	-0.1023	0.0708	-0.0345	-0.0178	-0.2134	0.0054	-0.0021	-0.0262	0.0103	-0.0141	-0.0727	-0.0197
15.7530	0.0474	-0.0248	-0.0813	-0.0375	0.0023	0.0371	-0.1521	0.0036	0.0191	0.0140	0.0076	0.0153	-0.0385	0.0596
17.4425	-0.0816	-0.0014	0.0713	0.0104	0.1511	0.1370	-0.2148	-0.0244	0.0102	0.0249	0.0050	-0.0069	-0.0492	-0.1412
19.1316	-0.0190	-0.0408	-0.0361	-0.0002	-0.0499	-0.0008	0.3967	0.0515	0.0038	-0.0508	0.0146	-0.0170	-0.0145	-0.0236
20.9265	0.0261	-0.0575	0.0740	0.0201	0.0364	-0.0368	-0.5216	0.0208	0.0633	-0.0095	0.0146	0.0384	0.0279	0.0223
22.7024	-0.0747	0.0221	-0.1075	0.0047	-0.0352	0.1156	0.4237	-0.0340	-0.0472	-0.0180	-0.0066	0.0023	-0.1413	-0.1658
24.5188	-0.0998	0.0648	0.0546	0.0081	0.0053	0.0667	-0.5474	-0.0317	0.0154	-0.0064	0.0080	0.0106	0.0369	-0.0325
26.2718	0.0235	-0.0267	-0.0634	-0.0183	-0.0697	-0.2873	-0.8422	0.0328	-0.0262	-0.0045	0.0268	-0.0098	-0.0617	0.3734
28.0860	-0.1384	-0.0457	0.0599	0.0329	-0.0094	0.1307	0.1955	0.0205	-0.0223	-0.0215	-0.0107	-0.0015	-0.0892	-0.0391
29.8548	0.0358	-0.1044	0.0770	-0.0290	-0.0323	0.0347	-0.3918	0.0136	-0.0284	0.0075	0.0047	-0.0082	-0.0116	-0.1283
31.6405	-0.0860	-0.0759	-0.0562	-0.0495	-0.1175	0.2276	-0.1283	-0.0105	-0.0162	0.0574	0.0072	0.0035	0.0541	-0.0602
33.3820	-0.0639	-0.0161	-0.0655	-0.0165	-0.0424	-0.1327	0.5549	0.0361	0.0191	-0.0006	0.0049	0.0204	0.0175	0.1685
35.1836	-0.0142	-0.0176	-0.0297	-0.0729	-0.0827	-0.1728	0.0225	0.0096	-0.0236	-0.0154	0.0147	-0.0109	0.1456	0.0127
