Time [s],Time[min],f1 [Hz],f3 [Hz],f5 [Hz],f7 [Hz],f9 [Hz],f11 [Hz],f13 [Hz],D3 [ppm],D5 [ppm],D7 [ppm],D9 [ppm],D11 [ppm],D13 [ppm]
50.5109,0.841848333,-0.0837,0.1581,0.0469,0.0507,-0.0062,-0.1025,-0.1091,0.0593,-0.0869,0.0198,-0.0124,-0.0223,0.1525
51.8725,0.864541667,0.0282,0.1301,0.0225,-0.0248,0.0099,-0.0757,0.0379,0.013,-0.0148,0.0014,-0.0009,-0.0091,0.1692
53.1904,0.886506667,-0.1785,0.0396,-0.0487,-0.0329,-0.0459,-0.0744,-0.6448,-0.0159,0.009,-0.0361,-0.0211,-0.0607,0.1264
54.5435,0.909058333,0.1493,-0.0812,-0.0622,0.0081,-0.046,-0.1573,0.177,-0.0586,-0.0377,-0.0151,-0.0057,-0.1231,0.2494
55.9065,0.931775,-0.0396,0.2172,0.0921,0.0014,-0.0048,-0.0787,0.1293,0.0034,-0.0506,0.0131,-0.0103,0.0449,0.1881
57.23,0.953833333,0.074,0.2306,0.1095,0.0051,0.0329,-0.096,-0.0716,0.0551,-0.0115,-0.0206,-0.0011,0.0076,-0.1128
58.3778,0.972963333,-0.0945,0.0528,-0.0552,-0.0107,0.0202,0.0838,0.333,-0.007,0.0027,0,-0.0032,-0.0305,-0.0276
59.7068,0.995113333,0.0436,-0.1171,0.0221,-0.0126,0.0258,-0.0747,-0.5328,-0.0694,-0.0046,0.026,-0.0113,-0.1107,-0.0509
60.9987,1.016645,-0.0195,0.0919,0.0106,0.0781,0.0706,-0.085,0.7809,0.0512,-0.0538,-0.0358,-0.0154,-0.0204,0.0667
62.3184,1.03864,0.064,0.1672,0.0452,0.0415,0.0177,0.0186,0.4045,0.1118,-0.0189,0.0332,-0.0282,-0.0185,0.1178
63.6399,1.060665,-0.107,-0.0948,0.0339,0.0499,0.0414,0.0479,-0.3853,-0.0066,0.0069,0.0058,-0.0095,-0.0305,0.0348
64.9998,1.08333,0.1353,-0.1507,0.1007,0.0399,0.0433,0.0472,-0.0694,-0.0446,-0.0099,0.009,0.0041,0.0045,0.1708
66.3188,1.105313333,0.027,0.0902,-0.0548,0.0063,0.0339,0.0876,-0.0711,-0.001,0.0236,-0.0013,-0.0234,-0.0928,0.3743
67.6375,1.127291667,0.1102,0.0729,0.046,-0.0418,0.0208,0.1179,0.4093,0.0253,-0.0146,0.0049,-0.0114,0.0061,0.1019
68.9843,1.149738333,-0.0954,-0.0022,0.1072,-0.0099,0.0874,0.0212,0.0073,-0.0351,0.0064,-0.0427,0.0265,-0.0479,0.1347
70.2825,1.171375,0.0475,-0.1693,-0.0036,0.0435,0.0205,-0.0609,-0.0361,-0.0254,0.0104,0.002,-0.0156,-0.0588,0.1371
71.6162,1.193603333,-0.0677,0.3245,0.0924,-0.0217,-0.0033,0.0837,0.1092,0.0356,0.0044,-0.0095,-0.0168,-0.0462,0.124
72.942,1.2157,-0.0153,0.1634,-0.0219,0.0518,0.0634,-0.024,0.4654,0.0173,-0.0327,-0.0228,-0.0225,0.0173,0.0896
