Time [s],Time [min],f1 [Hz],f3 [Hz],f5 [Hz],f7 [Hz],f9 [Hz],f11 [Hz],f13 [Hz],D3 [ppm],D5 [ppm],D7 [ppm],D9 [ppm],D11 [ppm],D13 [ppm]
591.1903,9.853171667,-1.8342,0.0152,-0.0192,0.1813,0.0213,0.0343,0.1842,0.0689,-0.0138,-0.073,0.0081,0.0667,0.0476
592.5154,9.875256667,-1.8593,0.0669,0.1778,0.1564,0.1571,-0.22,0.3484,0.0197,-0.0344,-0.0316,0.0069,-0.0058,0.17
593.8387,9.897311667,-1.9046,0.022,0.0181,0.1096,0.1216,0.417,0.5904,0.0431,-0.034,-0.0311,-0.0137,0.126,0.0429
595.164,9.9194,-2.0356,0.0887,0.0795,0.165,0.1986,-0.2557,0.5286,0.0637,0.0054,-0.0323,-0.0184,0.0356,-0.0245
596.4758,9.941263333,-1.9671,0.0882,0.086,0.0677,0.1389,0.3357,-0.2408,0.029,-0.0224,-0.0317,0.0084,0.154,0.0378
597.7841,9.963068333,-2.0022,0.0812,-0.0572,0.1674,0.1757,0.0038,0.1955,0.0587,0.0251,-0.0056,-0.0005,0.0362,0.2883
599.0984,9.984973333,-2.1621,0.2943,0.0181,0.3579,0.3258,0.3691,0.1958,0.0341,0.0127,-0.0116,0.0014,0.0051,-0.1062
600.413,10.00688333,-2.2701,0.2548,-0.0307,0.4118,0.5259,0.53,0.4382,0.0807,0.0007,-0.0242,-0.0078,-0.0456,-0.0459
601.6604,10.02767333,-2.3333,0.2976,0.0473,0.2257,0.3713,0.3611,0.3671,0.0808,0.0094,-0.0191,0.0218,-0.0994,-0.0384
602.964,10.0494,-2.5575,0.1614,0.0756,0.3891,0.4467,0.323,-0.4349,0.1062,0.0271,-0.0227,-0.0122,-0.1285,-0.0991
604.3005,10.071675,-2.5636,0.1992,0.0525,0.322,0.3411,0.2584,-0.0781,0.0775,0.0491,-0.0462,0.0024,0.0442,0.0434
605.6126,10.09354333,-2.528,0.1358,0.1397,0.2976,0.4683,0.1273,-0.0399,0.0931,-0.0257,-0.0164,-0.0091,-0.0423,0.3184
606.9729,10.116215,-2.5953,0.0487,0.1045,0.2815,0.3986,0.5266,-0.28,0.0123,-0.0065,0.0209,-0.0044,-0.0816,-0.0449
608.2639,10.13773167,-2.6409,0.2639,0.0544,0.291,0.4373,0.1205,-0.2575,0.0778,0.0217,-0.0102,0.0023,0.0139,0.1525
609.592,10.15986667,-2.5648,0.1283,0.0472,0.3658,0.3639,0.434,0.2071,0.0357,0.0292,-0.0414,0.0127,-0.0736,-0.0505
610.9068,10.18178,-2.5935,0.1879,0.081,0.3197,0.4554,0.3414,0.085,0.0927,0.0175,-0.0705,-0.0091,-0.0376,0.0239
612.1844,10.20307333,-2.7066,0.181,0.152,0.2935,0.3968,0.0155,0.0237,0.1104,-0.0466,-0.0384,-0.0156,-0.0013,-0.1577
613.5027,10.225045,-2.7343,0.1515,0.048,0.2357,0.4965,0.3795,0.3372,0.0603,0.0094,-0.0078,0.0023,-0.0399,-0.0248
614.7959,10.24659833,-2.7211,0.0548,0.0677,0.3413,0.426,0.3432,-0.2228,0.1098,0.0093,-0.0193,0.0208,-0.0296,0.2328
616.0756,10.26792667,-2.7545,0.2468,0.1304,0.2224,0.4481,0.4102,0.3894,0.072,0.0072,0.024,-0.0161,-0.0516,-0.0095
617.4184,10.29030667,-2.7419,0.1148,0.2894,0.2562,0.5668,0.5425,0.1327,0.0723,-0.0102,-0.0599,-0.033,0.0318,0.0134
618.7339,10.31223167,-2.6873,0.1321,0.1928,0.2038,0.4491,0.1988,0.2126,0.0624,0.0046,-0.0219,0.0188,0.0289,-0.3286
620.0431,10.33405167,-2.6952,0.1638,0.1388,0.3242,0.5242,0.4506,0.1107,0.085,-0.021,-0.0849,-0.0246,0.0566,0.0643
621.3605,10.35600833,-2.8249,0.1799,0.0035,0.2647,0.3767,0.2251,0.0664,0.0788,-0.0192,-0.027,-0.0037,0.0418,-0.1215
622.744,10.37906667,-2.8228,0.1884,0.2041,0.2644,0.414,0.2365,-0.2215,0.0833,-0.0187,-0.0715,-0.0122,-0.001,0.1025
624.0704,10.40117333,-2.7625,0.1628,0.1788,0.2797,0.3617,0.3499,0.1942,0.0905,0.0474,-0.0313,-0.0007,-0.0094,0.2351
625.4026,10.42337667,-2.7732,0.1044,0.0867,0.2402,0.3635,0.1842,0.4541,0.0581,0.0569,-0.0525,-0.0059,-0.0705,0.1457
626.6518,10.44419667,-2.8145,0.2515,0.0368,0.2528,0.3606,0.3626,-0.7048,0.0933,-0.0182,-0.0538,0.0049,0.0394,-0.0828
627.982,10.46636667,-2.8708,0.1505,0.1619,0.2593,0.3302,0.1305,-0.1306,0.1159,-0.0086,-0.014,-0.0143,0.132,0.1312
629.324,10.48873333,-2.8454,0.151,0.1501,0.2342,0.5265,0.2589,-0.0321,0.1092,0.0345,-0.0357,-0.0086,-0.1431,0.0846
630.6529,10.51088167,-2.7087,0.1663,0.0962,0.3721,0.4218,-0.0293,0.1588,0.1158,0.0163,-0.0175,0.0048,0.0213,0.0062
632.0165,10.53360833,-2.8591,0.1429,0.1211,0.3634,0.3872,0.2075,0.4006,0.0785,0.0235,-0.0297,0.0038,0.0192,-0.1053
633.3898,10.55649667,-2.8199,0.1575,0.0487,0.3294,0.4177,0.1506,0.3988,0.0654,0.0238,-0.0132,-0.0009,-0.0274,0.0222
634.718,10.57863333,-2.8022,0.2043,0.0487,0.3432,0.3503,0.0629,-0.2482,0.0413,-0.014,-0.025,0.0155,0.0116,0.1099
636.0384,10.60064,-2.927,0.1485,-0.0468,0.2607,0.4482,0.3926,-0.4163,0.0946,0.0417,0.019,-0.0107,-0.0223,-0.0977
637.3538,10.62256333,-2.8383,0.1561,0.0322,0.3053,0.4001,0.5043,0.1072,0.0492,0.0298,-0.0232,0.0087,-0.0215,-0.1202
638.674,10.64456667,-2.8096,0.1352,0.0331,0.2431,0.3983,0.2722,-0.1856,0.0732,-0.004,-0.0262,0.0147,-0.0705,0.0001
640.0507,10.66751167,-2.9115,0.1495,0.0205,0.2891,0.4042,0.2433,0.1176,0.067,-0.0021,-0.0079,-0.0111,-0.122,-0.0114
641.364,10.6894,-2.5884,0.1305,0.0624,0.0732,0.1585,0.1999,0.3187,0.0159,0.0334,-0.0307,-0.0469,-0.0092,-0.1611
642.7128,10.71188,-1.5211,0.0877,0.0643,0.0704,0.2611,0.0564,-0.4262,0.0707,0.0159,-0.0041,-0.0285,-0.0558,0.1802
644.0539,10.73423167,-1.5253,0.052,0.1545,0.068,0.1683,0.0001,0.6187,0.0227,-0.0345,-0.0168,0.0321,-0.0149,0.1701
645.3918,10.75653,-1.1043,0.067,0.0907,0.1764,0.2264,0.0937,-0.0364,0.0179,-0.021,-0.0083,-0.0092,-0.0097,-0.046
646.74,10.779,-0.6457,0.2358,0.1749,0.2219,0.2562,0.0201,0.4292,-0.0189,-0.034,0.0024,-0.0044,0.0426,-0.1066
648.0559,10.80093167,-0.6514,0.1241,0.0998,0.1918,0.1842,0.4195,-0.0381,-0.002,0.0324,-0.0354,-0.0747,-0.0786,-0.0803
649.3727,10.82287833,-0.7006,0.1029,0.1341,0.16,0.2613,0.1055,0.4172,0.0754,0.0281,0.0034,-0.007,0.0551,0.1262
650.7184,10.84530667,-0.2423,0.2131,0.1725,0.1685,0.2178,0.3212,-0.0857,0.0132,-0.0449,0.0021,0.0025,-0.0157,-0.1545
651.98,10.86633333,-0.4455,0.201,0.0846,0.1626,0.1737,0.0677,-0.3537,-0.0284,-0.0521,-0.024,-0.0114,0.0336,-0.0639
653.2702,10.88783667,-0.3699,0.0642,0.1133,0.2826,0.2767,-0.0554,0.0957,0.0626,-0.0271,-0.0259,-0.0223,0.0278,-0.3671
654.5518,10.90919667,-0.4905,0.2125,0.0921,0.2849,0.3454,0.2942,0.8926,-0.0488,0.0315,-0.0593,-0.0277,-0.0663,0.0722
655.8904,10.93150667,-0.2758,0.0225,0.038,0.225,0.269,-0.0223,0.1966,-0.0066,-0.0135,-0.0296,0.0145,0.0311,-0.072
657.1576,10.95262667,-0.3762,0.0621,0.0935,0.2006,0.2931,0.4139,-0.4273,-0.0205,-0.0354,-0.0331,0.0082,-0.1094,-0.1071
658.4184,10.97364,-0.3812,0.1733,0.1552,0.1533,0.2458,-0.0511,0.1228,0.04,-0.0394,-0.0309,-0.0109,-0.036,-0.1505
659.7498,10.99583,-0.4255,0.1098,-0.0321,0.2767,0.2456,0.0737,-0.4255,0.017,-0.0253,-0.048,-0.0182,-0.0202,-0.0388
660.9846,11.01641,-0.2913,0.1204,0.0648,0.1942,0.1522,0.4017,-0.3567,0.0101,0.0043,-0.0353,-0.0014,0.013,0.0336
662.2494,11.03749,-0.3986,0.2098,0.089,0.1989,0.2858,0.0493,-0.3539,0.0009,-0.0355,-0.005,-0.0443,0.08,0.2473
663.5669,11.05944833,-0.3611,0.2481,0.0132,0.1929,0.221,0.0506,0.2879,-0.0327,-0.0217,-0.0529,0.0071,-0.0449,-0.1227
664.837,11.08061667,-0.3737,0.023,0.0203,0.2021,0.2722,0.1791,0.1734,0.0164,-0.0173,-0.0221,0.0231,-0.0829,0.0735
665.9825,11.09970833,-0.289,0.252,-0.0069,0.2182,0.2714,0.2287,0.0143,0.0529,-0.0168,-0.0305,-0.0111,-0.0852,0.3283
667.1151,11.118585,-0.3416,0.1874,0.0688,0.2985,0.2061,0.1896,0.1337,0.01,0.004,-0.042,-0.0101,-0.0671,-0.1211
668.3731,11.13955167,-0.3595,0.1247,-0.1076,0.1647,0.3802,0.0129,-0.1521,-0.0143,-0.0157,-0.0311,-0.024,-0.075,-0.1829
669.6861,11.161435,-0.5827,0.2071,0.1465,0.1677,0.2916,0.2329,0.0555,0.0064,-0.0163,0.0354,-0.0231,-0.029,0.1075
671.0206,11.18367667,-0.4569,0.1481,0.1302,0.2031,0.1937,0.1089,-0.1601,-0.0022,0.0137,-0.0078,-0.0309,0.0418,-0.0903
672.4015,11.20669167,-0.3357,0.1233,0.1206,0.1181,0.2193,-0.0385,0.6727,-0.0065,-0.0333,-0.0068,0.0029,0.0662,-0.1468
673.7309,11.22884833,-0.3314,0.1002,0.1199,0.1492,0.3001,0.3563,-0.0551,0.0561,-0.0437,-0.0286,-0.0212,0.0091,0.0583
675.0824,11.25137333,-0.4025,0.1381,0.043,0.2546,0.2271,0.2046,0.4217,-0.0049,-0.0006,-0.0229,-0.0019,-0.0557,0.0296
676.4147,11.27357833,-0.455,0.2249,0.1017,0.1816,0.2051,0.2292,0.4803,0.0057,-0.0011,-0.0563,0.0075,0.1397,-0.4727
677.7456,11.29576,-0.4207,0.24,0.1483,0.1613,0.1727,0.0687,0.6235,-0.0221,-0.0196,-0.0338,-0.0143,0.0916,-0.151
679.0908,11.31818,-0.4297,0.1752,0.0586,0.2112,0.2781,-0.0963,0.2966,-0.0087,-0.0479,-0.042,-0.0305,0.0308,0.1321
680.4199,11.34033167,-0.5582,0.0779,0.0819,0.1169,0.1047,0.1264,0.3306,-0.0334,-0.0019,-0.0207,-0.0004,-0.0151,-0.0375
681.8212,11.36368667,-0.3629,0.0394,0.0139,0.1727,0.1347,-0.0182,0.5829,-0.0176,-0.0577,-0.0591,-0.0086,-0.0309,-0.0089
683.19,11.3865,-0.3785,0.1294,0.0629,0.1562,0.2743,0.2771,0.1306,0.0331,-0.0407,-0.0244,-0.0431,-0.0028,0.133
684.5079,11.408465,-0.3233,0.2003,0.0541,0.1785,0.285,0.2378,-0.2792,0.0151,0.0031,-0.0432,-0.0403,0.0201,0.1678
685.8599,11.43099833,-0.3956,0.1902,0.2452,0.1962,0.3552,0.4943,0.5266,0.0104,-0.0437,-0.0427,-0.0423,0.1473,-0.2107
687.2005,11.45334167,-0.3268,0.0724,0.036,0.0533,0.2672,-0.0676,0.4116,-0.0043,0.0355,-0.0208,0.0014,-0.001,0.0463
688.5621,11.476035,-0.2836,0.0823,-0.0262,0.3144,0.2912,-0.1522,0.5581,-0.0129,-0.0115,-0.0178,-0.0217,-0.0111,-0.0212
689.9124,11.49854,-0.3427,0.2114,0.0808,0.1253,0.1987,0.294,-0.1154,-0.0023,-0.0496,-0.0209,0.0044,0.04,-0.1872
691.2324,11.52054,-0.4137,0.1762,-0.0464,0.1667,0.1584,-0.0261,0.0392,0.0173,-0.0103,-0.0665,-0.0118,-0.0804,0.1286
692.5465,11.54244167,-0.405,0.0585,0.099,0.1845,0.2872,0.1815,-0.0489,0.021,-0.0183,-0.0301,0.0148,-0.0625,0.101
693.8739,11.564565,-0.3295,0.2319,0.0765,0.2659,0.2436,0.0609,0.1075,0.0127,0.0262,-0.0156,-0.0082,0.0527,0.0413
695.234,11.58723333,-0.2419,0.191,0.1186,0.1743,0.203,0.293,0.378,-0.013,-0.0669,-0.0208,-0.0198,-0.1335,0.0309
696.4985,11.60830833,-0.4485,0.1849,0.0491,0.1865,0.2343,0.0156,0.3499,0.0453,-0.0123,-0.0275,-0.0275,0.1062,0.0256
697.7268,11.62878,-0.278,0.1072,0.1302,0.2006,0.2303,0.1165,0.2217,-0.0067,-0.002,-0.0775,-0.0309,0.0214,-0.0046
698.98,11.64966667,-0.4078,0.2032,0.0069,0.1831,0.1794,0.2209,-0.0188,0.0159,-0.0016,-0.0135,-0.0085,-0.0003,-0.079
700.286,11.67143333,-0.3532,0.0955,-0.0001,0.1834,0.2528,0.2198,-0.1989,0.0503,-0.0301,-0.0319,-0.033,-0.0031,0.0961
701.7318,11.69553,-0.3537,0.1777,0.1128,0.1302,0.2745,0.1233,0.1666,0.0259,-0.022,-0.0393,-0.0212,-0.065,-0.0498
703.092,11.7182,-0.305,0.1466,0.0488,0.133,0.2242,0.2248,0.1644,0.0483,-0.0166,-0.0126,-0.0079,0.0478,0.0326
704.4035,11.74005833,-0.2899,0.1255,0.0818,0.0746,0.2095,0.3131,-0.0047,0.0417,0.0224,-0.014,-0.0215,0.0733,-0.241
705.7219,11.76203167,-0.2958,0.1185,0.0159,0.2011,0.1485,0.0946,0.7302,0.0221,0.0196,-0.0452,0.0082,-0.0276,-0.0365
707.068,11.78446667,-0.4988,0.1593,0.0313,0.2786,0.3068,0.2314,0.7581,0.0346,-0.0339,-0.0323,0.0059,-0.027,-0.2313
708.4224,11.80704,-0.4214,0.1251,0.1692,0.1005,0.1897,0.1576,-0.2257,0.0439,-0.037,-0.0625,-0.0183,-0.0082,0.0944
709.7102,11.82850333,-0.2504,0.0519,0.0374,0.2146,0.2543,-0.1408,-0.2786,-0.0197,-0.0052,-0.0105,0.0011,-0.0588,-0.2125
711.044,11.85073333,-0.2993,0.049,0.0204,0.0949,0.268,0.2757,0.3038,0.0083,-0.0332,-0.0318,0.0016,-0.0422,0.127
712.3798,11.87299667,-0.4675,0.1698,0.1332,0.16,0.4122,0.1278,0.1822,0.0249,0.006,-0.0163,-0.0145,0.0421,-0.1885
713.716,11.89526667,-0.3449,0.2267,-0.0177,0.1688,0.212,-0.0807,0.1715,0.0296,-0.0168,-0.0178,-0.0041,0.11,-0.0304
715.0243,11.91707167,-0.1895,0.1289,0.1087,0.1455,0.2752,-0.0245,0.1116,-0.0043,0.0164,-0.0136,-0.0177,-0.0841,-0.0355
716.3388,11.93898,-0.33,0.1969,0.0599,0.1778,0.2108,0.3117,0.0206,-0.0144,0.0138,-0.0324,-0.013,-0.0865,0.0316
717.67,11.96116667,-0.5318,0.2202,-0.028,0.2439,0.1589,0.1141,0.3403,0.0055,0.0069,0.0182,-0.0177,-0.0177,0.0965
718.9974,11.98329,-0.3864,0.1987,0.0869,0.1211,0.2432,0.186,-0.1074,0.0292,0.0309,-0.0245,-0.0239,-0.0724,0.295
720.3043,12.00507167,-0.3049,0.0588,0.0745,0.1289,0.2512,0.2829,0.2552,0.0237,-0.0554,-0.0606,-0.0296,-0.0187,-0.1921
721.6704,12.02784,-0.3127,0.059,0.0641,0.1996,0.2202,0.348,0.0847,0.0454,0.0113,-0.0298,-0.0052,-0.0162,-0.0531
723.038,12.05063333,-0.4844,0.2089,0.0237,0.1859,0.2453,0.1362,0.0707,-0.0142,-0.0646,-0.039,-0.0288,-0.062,0.0493
724.4852,12.07475333,-0.273,0.2192,-0.0279,0.1816,0.2592,0.2913,0.0569,-0.0213,-0.0555,-0.0274,-0.0176,-0.0322,0.0613
725.8426,12.09737667,-0.271,0.2464,0.1093,0.1524,0.2184,0.2527,-0.0982,0.0709,-0.028,-0.0128,-0.0006,-0.0273,-0.1566
727.2345,12.120575,-0.3358,0.123,0.0001,0.1792,0.2324,0.4399,-0.3385,-0.0185,-0.0001,-0.0577,-0.0222,-0.1071,-0.14
728.5858,12.14309667,-0.4733,0.1353,0.1146,0.1737,0.2513,0.1103,-0.0175,-0.0096,-0.0097,-0.0388,-0.0032,0.0341,-0.0242
730.085,12.16808333,-0.313,0.0897,0.0378,0.1473,0.1976,0.4254,-0.0364,0.025,-0.0121,-0.0354,-0.0184,-0.024,0.0273
731.4106,12.19017667,-0.4066,0.2068,-0.0094,0.2767,0.3019,0.0139,-0.2481,-0.0046,-0.0034,-0.0479,-0.0445,0.0432,0.0617
732.772,12.21286667,-0.3234,0.2161,0.0676,0.2055,0.2422,0.3913,-0.1447,-0.02,-0.0566,-0.0437,-0.0046,-0.0216,-0.0887
734.1094,12.23515667,-0.4617,0.2516,0.0708,0.2278,0.3911,0.331,0.3029,0.0343,-0.0156,-0.0421,-0.0269,0.0109,0.0672
735.6144,12.26024,-0.2503,0.1214,0.087,0.1312,0.1918,0.1954,0.2708,-0.0184,0.0031,-0.0128,-0.0222,-0.0385,-0.3109
736.9731,12.282885,-0.2509,0.2842,-0.0298,0.1685,0.2329,0.3705,0.4571,-0.0382,-0.0342,0.0132,0.0007,-0.0232,-0.2442
738.3958,12.30659667,-0.4668,0.2172,0.1005,0.1736,0.2185,0.0216,0.321,0.0689,-0.0149,-0.0271,-0.0163,-0.0013,-0.0566
739.7759,12.32959833,-0.4793,0.0403,0.089,0.2026,0.1767,0.3846,-0.2457,0.0358,-0.0297,-0.0001,0.0226,-0.0674,0.186
741.2167,12.35361167,-0.2711,0.0945,0.1928,0.1449,0.1766,-0.1431,0.0003,-0.0163,0.002,-0.0084,-0.0117,-0.0258,-0.058
742.6892,12.37815333,-0.3448,0.1546,-0.0386,0.2221,0.2695,0.2144,-0.1534,0.0312,-0.0406,-0.0195,0.0011,0.0341,0.1131
744.1152,12.40192,-0.4705,0.0898,0.0921,0.1654,0.2992,0.376,0.2744,-0.0014,-0.0317,-0.0445,-0.008,-0.0143,0.026
745.4449,12.42408167,-0.4059,0.2296,0.034,0.2049,0.2695,0.3426,0.1932,0.0315,-0.0137,-0.0081,-0.0212,-0.0888,0.1206
746.8268,12.44711333,-0.344,0.0827,0.0208,0.1609,0.253,0.077,0.1287,0.0142,-0.0643,-0.0544,-0.0049,0.0218,-0.3755
748.2346,12.47057667,-0.3067,0.2042,0.0245,0.26,0.2594,0.2389,-0.9349,0.0044,-0.0057,-0.027,0.0081,-0.044,0.0239
749.564,12.49273333,-0.5035,0.1066,0.045,0.1613,0.2381,0.1569,0.2247,0.077,-0.0148,-0.0237,-0.0179,-0.0463,0.0161
750.9087,12.515145,-0.383,0.3077,0.1419,0.2472,0.2052,0.3005,0.3152,0.0962,0.0165,-0.0075,-0.0141,-0.0028,-0.0726
752.3218,12.53869667,-0.2769,0.1269,0.1661,0.2243,0.2596,0.393,0.0535,0.0009,-0.0288,-0.029,0.0022,-0.0594,-0.0443
753.8238,12.56373,-0.4785,0.228,0.0185,0.2608,0.2813,0.4516,-0.2853,0.0455,0.0025,-0.0217,-0.0162,-0.0587,0.1463
755.1458,12.58576333,-0.3942,0.1977,0.0383,0.1702,0.3039,0.0158,0.3276,-0.0315,-0.0227,-0.0067,0.0287,-0.0608,-0.0213
756.5565,12.609275,-0.3635,0.1857,0.1685,0.1981,0.1433,0.3527,-0.7149,0.0327,-0.0436,-0.0375,-0.0354,0.1441,-0.0872
757.906,12.63176667,-0.2036,0.2827,0.1225,0.2304,0.233,-0.0116,0.068,-0.0233,-0.0284,-0.0449,-0.0358,0.0968,0.2518
759.366,12.6561,-0.2812,0.1599,0.1135,0.2361,0.2779,0.3806,0.5506,0.0225,-0.0053,0.0083,-0.0299,-0.1104,-0.0946
760.682,12.67803333,-0.5341,0.2546,0.0929,0.2376,0.242,0.2985,-0.358,-0.0033,-0.0245,-0.0161,-0.0185,-0.1238,0.0916
762.0545,12.70090833,-0.2885,0.3145,0.0543,0.1108,0.2347,0.0494,0.0825,-0.0221,-0.0201,-0.0007,-0.0227,0.0101,-0.0421
763.432,12.72386667,-0.35,0.1545,0.0757,0.269,0.1567,-0.0991,0.3543,-0.0305,0.0213,-0.0517,0.0014,-0.1085,0.0202
764.7627,12.746045,-0.4617,0.124,0.1312,0.1643,0.3619,0.2464,0.2889,0.0149,-0.0362,-0.0394,-0.0365,-0.0371,-0.0846
766.1406,12.76901,-0.3675,0.1136,0.0214,0.1897,0.1922,0.2697,0.0381,-0.0082,0.0109,-0.0305,-0.0183,-0.0927,0.2979
767.4758,12.79126333,-0.1955,-0.0119,0.0163,0.1322,0.2915,0.3714,0.0792,-0.0761,-0.028,-0.0473,-0.0472,0.0356,0.0076
768.9284,12.81547333,-0.3197,0.3016,0.1176,0.2338,0.3274,-0.1514,0.7235,-0.0413,-0.0156,-0.0094,-0.0047,-0.0216,-0.0805
770.32,12.83866667,-0.5216,0.1958,0.0935,0.1578,0.202,0.1037,-0.1243,-0.0018,0.0039,-0.0488,-0.0264,0.0326,0.0393
771.7118,12.86186333,-0.4733,0.0287,0.0395,0.1742,0.1475,0.1098,0,0.0587,-0.0167,-0.0445,-0.0636,-0.0682,-0.0625
773.1505,12.88584167,-0.2132,0.1276,0.0564,0.175,0.1618,0.1237,-0.4446,-0.0156,0.0068,-0.0368,-0.0274,0.0426,-0.0353
774.6306,12.91051,-0.1595,0.0604,0.1906,0.0894,0.0295,0.4331,-0.031,0.0441,-0.049,-0.0193,0.0049,-0.0848,0.0006
776.0537,12.93422833,-0.3333,0.057,0.0308,0.0897,0.1012,0.2196,-1.1313,0.0392,-0.0376,0.0044,-0.0196,-0.0578,0.2351
777.4197,12.956995,-0.1209,0.0869,0.1679,0.0979,0.008,-0.0969,0.0153,0.0285,-0.0359,-0.0639,0.002,0.0767,0.1878
778.7864,12.97977333,-0.2678,0.1902,-0.0454,0.0927,0.0638,0.1259,0.2029,0.0036,-0.0077,-0.0324,-0.0163,0.0245,-0.2155
780.308,13.00513333,-0.1629,0.1501,0.1589,0.142,0.0604,0.1108,0.5996,-0.0023,-0.0474,-0.0329,-0.0349,0.0845,0.1445
781.7188,13.02864667,-0.343,0.1118,-0.0144,0.1462,0.1096,0.1606,0.1907,0.0358,-0.0037,-0.0532,-0.0121,0.0626,-0.0516
783.146,13.05243333,-0.152,0.0118,0.0781,0.1093,0.1453,-0.0724,0.1739,-0.0069,-0.0151,-0.0677,-0.0073,-0.0614,0.2405
784.574,13.07623333,-0.2343,0.0842,0.0053,0.0541,0.1195,0.2371,0.0931,-0.0229,-0.0201,-0.0618,-0.0437,-0.0443,0.1798
786.0758,13.10126333,-0.3528,0.126,0.073,0.2137,0.1068,0.333,-0.0231,-0.0027,0.0069,-0.0316,-0.009,0.1047,-0.1019
787.5106,13.12517667,-0.4033,0.1162,0.0764,0.0222,0.1411,-0.1001,0.4073,-0.0228,0.0259,-0.0036,-0.0045,-0.0693,0.0829
788.8724,13.14787333,-0.2024,0.1916,0.0608,0.1417,-0.0035,0.1737,0.0897,-0.0463,-0.0198,-0.0058,-0.0205,-0.0642,0.1294
790.2586,13.17097667,-0.2311,0.1844,0.1159,0.1671,0.0572,0.1476,0.3815,-0.0119,-0.0136,0.0169,-0.0134,0.0421,0.271
791.6399,13.19399833,-0.5171,0.1907,-0.0737,0.0972,0.0891,-0.0632,-0.4866,-0.0135,0.002,-0.0359,-0.0486,-0.0077,0.0982
792.9744,13.21624,-0.3012,0.1114,0.102,0.1001,-0.0077,0.1103,-0.2548,0.0005,-0.0198,-0.0436,0.0022,-0.11,0.0048
794.348,13.23913333,-0.2247,0.1276,0.1248,0.0694,0.1004,0.1702,0.2595,-0.0052,-0.0092,0.0063,-0.0738,-0.1212,0.0395
795.7905,13.263175,-0.2689,0.2581,0.1605,0.0254,0.1414,-0.0316,0.1176,-0.0409,-0.0048,-0.0656,-0.0545,0.0841,-0.0375
797.1958,13.28659667,-0.3019,0.1226,0.0372,0.146,0.0418,0.1524,0.1112,-0.0067,-0.0199,-0.0427,-0.0103,0.0087,0.0306
798.5853,13.309755,-0.22,0.1174,0.1544,0.0192,0.1527,0.1609,-0.2118,0.03,0.0052,-0.0284,0.0024,0.0203,-0.0801
799.9326,13.33221,-0.1767,0.2637,0.1036,0.1411,0.0805,-0.0985,0.0612,0.0219,-0.0224,-0.026,-0.0401,0.0587,0.3772
801.3003,13.355005,-0.0911,0.2091,0.0838,0.0548,0.1098,0.1401,-0.399,0.0198,0.007,-0.0638,-0.0602,0.0512,0.0493
802.6829,13.37804833,-0.3044,0.1649,0.1329,0.1757,0.1426,0.1274,0.0843,0.0212,-0.0063,-0.0381,0.0083,-0.0649,-0.2702
804.0708,13.40118,-0.275,0.0949,0.086,0.1428,0.0145,0.1378,0.2172,-0.0131,-0.0047,-0.0294,-0.0179,0.0929,-0.0589
805.4378,13.42396333,-0.2102,0.1368,-0.0287,0.0087,0.0974,-0.0909,0.2107,0.0021,-0.004,-0.0455,-0.0192,0.0733,-0.0447
806.9567,13.44927833,-0.1321,0.0623,0.067,0.1464,0.1517,0.2491,0.2169,0.0205,-0.0135,-0.0235,-0.0409,0.0284,0.1157
808.2449,13.47074833,-0.3242,0.1049,0.0751,0.0537,0.0883,0.0469,0.283,-0.0278,-0.0252,-0.0211,-0.0447,0.0651,-0.0404
809.6347,13.49391167,-0.1044,0.1525,-0.0233,0.0587,0.1029,-0.0213,-0.1004,-0.052,0.0103,-0.0539,-0.0343,-0.0491,0.0209
811.1305,13.51884167,-0.1981,0.2693,0.1474,0.1217,-0.0047,0.3611,0.3939,-0.035,-0.0395,-0.046,-0.0461,0.0352,0.1897
812.5807,13.54301167,-0.2806,0.1743,-0.0369,0.0584,0.1992,0.1769,-0.5018,-0.0211,-0.0192,-0.0426,-0.0593,-0.0089,-0.2223
814.032,13.5672,-0.4026,0.1387,0.1224,0.1386,0.1538,0.1211,-0.2978,-0.0126,-0.006,-0.0106,-0.0203,0.045,0.1237
815.4769,13.59128167,-0.1518,0.1629,0.1081,0.054,0.0364,0.2917,-0.0765,-0.0171,-0.0188,-0.0648,-0.0346,-0.0899,0.0363
816.978,13.6163,-0.1426,0.1523,0.1444,0.1909,0.0855,-0.0759,0.1683,-0.0278,-0.0304,-0.0251,-0.0277,-0.0065,-0.0948
818.448,13.6408,-0.2951,0.1635,0.0337,0.1915,0.0296,0.1533,0.6087,0.0399,-0.0153,-0.0184,-0.0092,0.0357,0.2137
819.8285,13.66380833,-0.2352,0.2818,0.1262,0.1311,0.0123,0.1342,-0.1751,0.0049,0.003,-0.0248,-0.0208,0.0898,-0.2203
821.194,13.68656667,-0.2238,0.2132,0.1539,-0.0214,0.0236,0.4587,0.0241,0.0121,-0.0402,-0.0003,-0.0473,0.0237,0.0372
822.7084,13.71180667,-0.1228,0.1667,0.064,0.1918,0.1325,-0.2055,0.0034,-0.0181,-0.0109,-0.0201,-0.0119,-0.0726,-0.1697
824.152,13.73586667,-0.2666,0.2868,0.2286,0.095,0.2348,0.1891,-0.2378,-0.0185,-0.0581,-0.0218,-0.0307,0.0416,0.2399
825.602,13.76003333,-0.1446,0.2665,0.2094,0.0943,0.2054,0.1524,0.0885,0.0244,-0.0273,-0.0216,-0.0578,-0.0534,-0.255
