Time [s],Time [min],f1 [Hz],f3 [Hz],f5 [Hz],f7 [Hz],f9 [Hz],f11 [Hz],f13 [Hz],D3 [ppm],D5 [ppm],D7 [ppm],D9 [ppm],D11 [ppm],D13 [ppm]
50.5494,0.84249,0.1008,0.0484,0.0066,0.0201,-0.0313,-0.1378,-0.5,-0.0276,-0.0177,0.0215,-0.0317,0.0454,0.1067
51.8974,0.864956667,0.0064,-0.0838,-0.035,-0.0597,0.0398,0.2772,0.02,-0.0517,-0.0029,0.0245,-0.0303,0.0165,0.2585
53.2255,0.887091667,-0.0577,0.0118,-0.1082,-0.0007,-0.07,-0.059,0.1652,-0.0223,-0.0158,-0.0072,-0.0128,-0.0149,0.0567
54.584,0.909733333,0.0183,0.0124,-0.0009,0.0773,-0.0357,0.1613,0.0622,0.0375,0.016,-0.0018,0.0001,0.0357,0.1762
55.938,0.9323,0.1879,0.0579,-0.0866,0.0777,-0.03,-0.0243,-0.181,-0.0113,-0.0469,0.044,-0.0247,0.0478,0.033
57.2502,0.95417,0.0997,0.1326,0.0531,-0.0375,-0.0323,0.1076,0.199,-0.0103,0.0397,-0.0054,-0.0104,0.0312,-0.0043
58.4108,0.973513333,-0.0818,-0.085,-0.063,-0.0001,0.0713,0.1165,-0.2974,-0.0468,-0.006,0.0052,0.0112,0.0236,-0.0742
59.7032,0.995053333,-0.0011,0.0659,-0.0082,0.0439,-0.0456,-0.0139,0.168,-0.0105,0.0219,-0.0023,0.0053,-0.0817,0.0557
61.024,1.017066667,0.2177,0.1553,-0.0366,-0.0295,-0.0384,0.2346,-0.0549,-0.0302,-0.0097,0.0007,0.0017,-0.0126,0.1217
62.3488,1.039146667,0.0368,-0.03,-0.0543,-0.0045,0.0122,-0.0775,-0.209,0.0076,-0.0153,-0.0262,0.0139,0.082,0.0767
63.676,1.061266667,-0.1207,-0.083,-0.0401,0.0532,-0.0488,0.1718,0.2961,0.0234,-0.0269,-0.0198,-0.0145,0.0619,-0.0557
65.0368,1.083946667,0.0077,-0.07,-0.0018,-0.1314,-0.0629,-0.138,0.3145,-0.029,0.0109,-0.0104,-0.0117,0.0841,0.1608
66.3503,1.105838333,0.0806,-0.0473,0.0374,-0.0498,-0.0007,-0.2273,-0.1904,-0.0389,0.0197,-0.0396,-0.0124,0.0642,-0.1108
67.6773,1.127955,0.1096,0.0311,0.0231,-0.0236,0.0401,0.0824,-0.4043,0.0188,0.0233,0.0121,0.0095,-0.0758,0.0353
68.998,1.149966667,-0.0479,-0.0329,-0.0074,0.0404,0.004,-0.0004,0.365,-0.0118,0.0159,0.0126,-0.0056,0.0551,0.1864
70.3165,1.171941667,0.0399,0.0242,0.018,-0.0924,-0.0974,0.1915,0.378,0.0018,0.0172,-0.0129,-0.0323,0.0568,-0.0097
71.6628,1.19438,0.0841,0.1743,0.0454,-0.0504,-0.0462,0.0815,0.0068,-0.0206,0.0208,-0.0432,-0.0227,0.0011,0.1655
72.9627,1.216045,0.1065,0.0522,-0.0712,-0.0103,-0.0019,-0.1361,0.1081,-0.018,-0.0026,0.0203,0.0095,0.1036,0.2614
74.233,1.237216667,-0.1464,0.0093,0.0654,0.0081,0.0558,-0.0728,0.1912,0.0583,-0.0167,0.0239,0.0238,-0.1246,-0.2019
75.5186,1.258643333,0.0351,0.0326,0.0262,-0.0389,0.0044,0.108,-0.325,-0.0074,-0.0041,0.0247,0.0257,-0.0329,-0.171
76.8206,1.280343333,0.0491,0.0835,0.0528,-0.0225,0.1012,-0.2207,-0.4142,0.0049,0.0283,-0.006,0.0004,-0.0038,-0.0623
77.938,1.298966667,0.1289,0.0347,0.0672,0.0443,-0.0957,0.1822,-0.2793,0.0233,-0.0011,0.017,0.0037,0.0269,-0.0322
79.2907,1.321511667,-0.1107,-0.0214,-0.0361,0.06,-0.0133,-0.371,-0.0464,0.0659,0.0114,0.0003,0.0166,0.0408,0.0545
80.6168,1.343613333,-0.1742,0.0856,-0.0007,-0.0219,-0.0536,-0.1791,-0.0679,-0.0382,-0.026,0.0265,0.0161,0.1183,-0.0179
81.976,1.366266667,0.1619,0.0049,-0.0272,-0.0045,-0.0823,0.2517,-0.4796,0.0426,0.0217,-0.0295,-0.0062,-0.0613,0.1462
83.284,1.388066667,0.1229,-0.0034,-0.0587,0.0137,0.0259,-0.0924,-0.0097,-0.0452,-0.0231,-0.0248,-0.0323,0.0219,0.201
84.5744,1.409573333,-0.0797,-0.0114,0.0057,0.0731,-0.0112,0.164,0.21,-0.0014,-0.0293,-0.0161,0.0012,0.0169,0.0461
85.8926,1.431543333,-0.1203,0.0268,-0.0327,-0.0417,0.0064,0.184,-0.2033,0.0227,-0.0048,0.0267,0.0192,0.054,-0.1038
87.1938,1.45323,0.166,0.0788,-0.0221,0.0565,-0.05,-0.0621,0.5151,0.052,0.0187,-0.0269,-0.0019,0.0558,0.0684
88.4905,1.474841667,0.0018,-0.0668,-0.0283,0.0188,0.008,-0.0856,0.202,0.0312,0.0173,-0.0347,-0.0186,0.0904,0.1629
89.7972,1.49662,-0.0269,-0.0978,-0.0204,0.093,0.1181,-0.0941,-0.0913,0.0064,-0.0281,0.041,-0.0126,0.1817,-0.0106
91.0784,1.517973333,-0.0601,0.1279,0.0313,0.0454,0.0369,-0.1066,0.0183,0.0252,-0.0282,-0.0485,-0.0477,0.0843,-0.1222
92.4208,1.540346667,0.1648,-0.1169,-0.0313,0.0317,-0.1186,0.0421,-0.6678,-0.0016,-0.0027,-0.0061,0.0097,0.0412,0.2879
93.7306,1.562176667,0.1292,-0.0769,-0.0606,0.0927,0.0114,0.0628,-0.1923,-0.0373,0.0112,-0.0204,-0.0339,-0.0041,0.1096
95.0385,1.583975,-0.0161,0.0279,0.0106,0.1103,-0.0127,0.0435,-0.0151,0.0143,-0.0249,-0.0487,0.0124,0.0068,0.098
96.3404,1.605673333,-0.0547,0.011,-0.0417,0.0566,-0.0067,0.1086,0.0194,0.0081,-0.0018,-0.0347,0.0175,0.0132,0.0712
97.6404,1.62734,0.1233,0.0374,0.0556,-0.0393,-0.076,-0.1392,0.0036,-0.0538,-0.0143,-0.0456,-0.0103,0.0157,0.0207
98.9559,1.649265,0.0342,0.0474,-0.0668,0.0573,-0.0177,0.0275,0.2936,-0.0431,0.0122,0.0002,0.001,0.0249,0.0986
100.2539,1.670898333,0.1299,0.0101,0.1675,0.0072,0.0207,-0.2204,-0.285,-0.0014,-0.0279,-0.0415,-0.0056,-0.0592,-0.0791
101.5905,1.693175,-0.1592,0.0502,0.0297,0.0944,-0.0402,-0.018,0.1436,0.0065,0.0254,-0.0336,-0.0094,-0.0589,-0.163
102.8877,1.714795,0.0858,0.1072,-0.072,-0.0111,0.0332,-0.0695,-0.7877,0.0276,0.0278,-0.0127,-0.0251,-0.0918,-0.1358
104.168,1.736133333,0.0751,0.0188,0.0244,-0.0353,0.068,0.1605,-0.1647,-0.0156,0.0018,0.0219,-0.0196,0.0486,-0.0129
105.502,1.758366667,0.0154,0.0719,-0.0693,-0.0708,-0.0068,-0.114,0.0696,0.0293,0.028,0.0055,0.0026,0.0222,-0.0875
106.8186,1.78031,-0.0062,0.0897,-0.0282,-0.0117,-0.0154,0.1428,0.4766,0.0206,0.0582,-0.0106,-0.0016,0.0355,0.0779
108.1405,1.802341667,0.1243,0.0546,0.0433,-0.0044,-0.0448,0.1096,0.0492,-0.013,-0.0103,-0.0011,0.0226,0.0239,0.2273
109.4493,1.824155,0.1591,0.0801,-0.0117,-0.0997,-0.025,0.133,0.3387,0.026,0.024,0.0064,-0.0057,-0.1278,0.0955
110.7836,1.846393333,0.1424,-0.0485,-0.0376,-0.0106,0.0486,-0.0326,0.1058,-0.0205,-0.0052,-0.0195,-0.0426,0.0079,0.2196
112.0772,1.867953333,-0.0198,0.1388,0.1184,0.0765,0.0089,0.4146,-0.0106,0.0118,0.008,-0.0079,0.0037,0.0136,0.0592
113.364,1.8894,0.1115,0.1586,0.1132,-0.0004,-0.1275,0.0644,-0.1961,0.0431,-0.0294,0.0429,-0.0015,-0.0104,-0.1123
114.716,1.911933333,0.093,0.0063,0.1317,0.104,0.0214,0.1979,0.1047,0.0277,0.0503,0.0024,0.0142,0.0243,0.0437
115.999,1.933316667,0.1071,0.0941,0.0281,0.0272,0.0004,0.246,0.5198,-0.0003,0.0012,-0.0293,-0.0065,-0.0058,-0.1296
117.3104,1.955173333,0.0031,0.1944,-0.0345,0.0128,0.0284,0.0383,-0.2166,0.0483,0.0175,-0.0054,-0.0046,-0.0453,-0.0226
118.6077,1.976795,0.2669,0.2417,0.0322,0.0978,-0.0551,-0.0541,0.3471,-0.071,0.0426,0.0161,-0.0188,-0.0703,0.0264
