DTP13_Sk100,SH_Hz,baseline,SC
0,-3.68,-21.705,83.0453812485602
10,-0.99,-21.705,95.4388389771942
30,-4.64,-21.705,78.6224372264455
50,-0.98,-21.705,95.4849113107579
70,-3.4,-21.705,84.3354065883437
90,-2.72,-21.705,87.468325270675
100,-1.06,-21.705,95.1163326422483
100,-1.32,-21.705,93.9184519695923
