sk100_dtp10,1000,1000_err,9010,9010_err,7030,7030_err,5050,5050_err,3070,3070_err,1090,1090_err,100,0100_err
1,4.3,0.2,39.59,0.47,39.5,0.86,35.66,0.85,38.6,0.54,42.79,1.36,1.9,0.1
2,,,36.44,0.36,56.25,3.88,35.37,0.49,39.22,0.61,41.28,0.62,,
3,,,39.72,0.88,46.45,6.96,34.11,0.5,43.36,3.37,34.38,0.39,,
4,4.3,0.2,38.5833333333333,0.57,47.4,3.9,35.0466666666667,0.613333333333333,40.3933333333333,1.50666666666667,39.4833333333333,0.79,1.9,0.1
