,SK_ratio_DTP13,DTP13SK100_nm,DTP13SK100_err,Sk_ratio_DTP10,DTP10_SK100_nm,DTP10_SK100_err
,0,1.93333333333333,0.2,100,,
,10,3.73333333333333,0.166666666666667,90,2.93333333333333,0.133333333333333
,30,0.8,0.1,70,2.76666666666667,0.133333333333333
,50,2.23333333333333,0.133333333333333,50,1.96666666666667,0.0666666666666667
,70,2.13333333333333,0.133333333333333,30,2.7,0.0666666666666667
,90,2.16666666666667,0.133333333333333,10,2.16666666666667,0.133333333333333
,100,2.7,0.133333333333333,0,,
